name,username,progressive caucus,new democratic coalition,problem solvers caucus,republican governance group,republican study committee,freedom caucus
Mike Kelly,MikeKellyPA,,,,,True,
Mike Lee,SenMikeLee,,,,,,
Mike Levin,RepMikeLevin,True,,,,,
Mike Quigley,RepMikeQuigley,,True,,,,
Mike Rogers,RepMikeRogersAL,,,,,True,
Mike Rounds,SenatorRounds,,,,,,
Mike Simpson,CongMikeSimpson,,,,,,
Mike Thompson,RepThompson,,,,,,
Mike Turner,RepMikeTurner,,,,True,True,
Mikie Sherrill,RepSherrill,,True,,,,
Mitch McConnell,senatemajldr,,,,,,
Mitt Romney,SenatorRomney,,,,,,
Mo Brooks,RepMoBrooks,,,,,,True
Mondaire Jones,RepMondaire,True,,,,,
Morgan Griffith,RepMGriffith,,,,,,True
Nancy Mace,RepNancyMace,,,,True,,
Nancy Pelosi,SpeakerPelosi,,,,,,
Nanette Barragan,RepBarragan,True,,,,,
Neal Dunn,DrNealDunnFL2,,,,,True,
Nicole Malliotakis,RepMalliotakis,,,,True,True,
Nikema Williams,RepNikema,True,True,,,,
Norma Torres,NormaJTorres,,True,,,,
Nydia Velazquez,NydiaVelazquez,True,,,,,
Pat Fallon,RepPatFallon,,,,,True,
Patrick Leahy,SenatorLeahy,,,,,,
Patrick McHenry,PatrickMcHenry,,,,,True,
Patrick Toomey,SenToomey,,,,,,
Patty Murrary,PattyMurray,,,,,,
Paul Gosar,RepGosar,,,,,True,True
Paul Tonko,RepPaulTonko,,,,,,
Pete Aguilar,RepPeteAguilar,,True,,,,
Pete Sessions,PeteSessions,,,,,,
Pete Stauber,RepPeteStauber,,,True,True,True,
Peter DeFazio,RepPeterDeFazio,True,,,,,
Peter Meijer,RepMeijer,,,True,True,,
Peter Welch,PeterWelch,True,,,,,
Pramila Jayapal,RepJayapal,True,,,,,
Raja Krishnamoorthi,CongressmanRaja,,True,,,,
Ralph Norman,RepRalphNorman,,,,,True,True
Rand Paul,RandPaul,,,,,,
Randy Feenstra,RepFeenstra,,,,,True,
Randy Weber,TXRandy14,,,,,True,True
Raphael Warnock,SenatorWarnock,,,,,,
Rashida Tlaib,RepRashida,True,,,,,
Raul Grijalva,RepRaulGrijalva,True,,,,,
Raul Ruiz,RepRaulRuizMD,,True,,,,
Richard Blumenthal,SenBlumenthal,,,,,,
Richard Burr,SenatorBurr,,,,,,
Richard Durbin,SenatorDurbin,,,,,,
Richard Hudson,RepRichHudson,,,,,True,
Richard Neal,RepRichardNeal,,,,,,
Richard Shelby,SenShelby,,,,,,
Rick Allen,RepRickAllen,,,,,True,
Rick Crawford,RepRickCrawford,,,,,,
Rick Larsen,RepRickLarsen,,True,,,,
Rick Scott,SenRickScott,,,,,,
Ritchie Torres,RepRitchie,True,,,,,
Ro Khanna,RepRoKhanna,True,,,,,
Rob Portman,senrobportman,,,,,,
Robert Aderholt,Robert_Aderholt,,,,,True,
Robert Casey,SenBobCasey,,,,,,
Robert Latta,boblatta,,,,,True,
Robert Scott,BobbyScott,,,,,,
Robert Wittman,RobWittman,,,,,True,
Robin Kelly,RepRobinKelly,,,,,,
Rodney Davis,RodneyDavis,,,,True,,
Roger Marshall,SenatorMarshall,,,,,,
Roger Wicker,SenatorWicker,,,,,,
Roger Williams,RepRWilliams,,,,,True,
Ron Estes,RepRonEstes,,,,,True,
Ron Johnson,SenRonJohnson,,,,,,
Ron Kind,RepRonKind,,,,,,
Ron Wright,RepRonWright,,,,,,
Ron Wyden,RonWyden,,,,,,
Ronny Jackson,RepRonnyJackson,,,,,True,
Rosa DeLauro,rosadelauro,True,,,,,
Roy Blunt,RoyBlunt,,,,,,
Ruben Gallego,RepRubenGallego,True,,,,,
Russ Fulcher,RepRussFulcher,,,,,True,True
Salud Carbajal,RepCarbajal,,True,True,,,
Sam Graves,RepSamGraves,,,,,,
Sanford Bishop Jr.,SanfordBishop,,,,,,
Sara Jacobs,RepSaraJacobs,,True,,,,
Scott DesJarlais,DesJarlaisTN04,,,,,True,True
Scott Fitzgerald,RepFitzgerald,,,,,True,
Scott Franklin,RepFranklin,,,,,True,
Scott Perry,RepScottPerry,,,,,,
Scott Peters,RepScottPeters,,True,True,,,
Sean Casten,RepCasten,,True,,,,
Sean Patrick Maloney,RepSeanMaloney,,True,,,,
Seth Moulton,teammoulton,,True,,,,
Sharice Davids,RepDavids,,True,,,,
Sheila Jackson Lee,JacksonLeeTX18,True,,,,,
Sheldon Whitehouse,SenWhitehouse,,,,,,
Shelley Capito,SenCapito,,,,,,
Sherrod Brown,SenSherrodBrown,,,,,,
Stacey Plaskett,StaceyPlaskett,,True,,,,
Steny Hoyer,LeaderHoyer,,,,,,
Stephanie Bice,RepBice,,,,,,
Stephanie Murphy,RepStephMurphy,,True,True,,,
Stephen Lynch,RepStephenLynch,,,,,,
Steve Chabot,RepSteveChabot,,,,,True,
Steve Cohen,RepCohen,True,,,,,
Steve Daines,SteveDaines,,,,,,
Steve Scalise,SteveScalise,,,,,True,
Steve Stivers,RepSteveStivers,,,,,,
Steve Womack,rep_stevewomack,,,,True,,
Steven Horsford,RepHorsford,True,True,True,,,
Steven Palazzo,CongPalazzo,,,,,True,
Susan Collins,SenatorCollins,,,,,,
Susan Wild,RepSusanWild,,True,,,,
Susie Lee,RepSusieLee,,True,True,,,
