Kinzinger,Adam,RepKinzinger,,,,
Krishnamoorthi,Raja,CongressmanRaja,,,,
LaHood,Darin,RepLaHood,,,,
Newman,Marie,RepMarieNewman,,,,
Quigley,Mike,RepMikeQuigley,,,,
Rush,Bobby,L.,RepBobbyRush,,,
Schakowsky,Jan,janschakowsky,,,,
Schneider,Bradley,RepSchneider,,,,
Underwood,Lauren,RepUnderwood,,,,
Baird,Jim,RepJimBaird,,,,
Banks,Jim,RepJimBanks,,,,
Bucshon,Larry,RepLarryBucshon,,,,
Carson,Andr�,RepAndreCarson,,,,
Hollingsworth,Trey,RepTrey,,,,
Mrvan,Frank,J.,RepMrvan,,,
Pence,Greg,RepGregPence,,,,
Spartz,Victoria,RepSpartz,,,,
Walorski,Jackie,RepWalorski,,,,
Davids,Sharice,RepDavids,,,,
Estes,Ron,RepRonEstes,,,,
LaTurner,Jake,RepLaTurner,,,,
Mann,Tracey,RepMann,,,,
Barr,Andy,RepAndyBarr,,,,
Comer,James,RepJamesComer,,,,
Guthrie,S.,Brett,RepGuthrie,,,
Massie,Thomas,RepThomasMassie,,,,
Rogers,Harold,RepHalRogers,,,,
Yarmuth,John,A.,RepJohnYarmuth,,,
Graves,Garret,RepGarretGraves,,,,
Higgins,Clay,RepClayHiggins,,,,
Johnson,Mike,RepMikeJohnson,,,,
Scalise,Steve,SteveScalise,,,,
Auchincloss,Jake,RepAuchincloss,,,,
Clark,Katherine,RepKClark,,,,
Keating,William,USRepKeating,,,,
Lynch,Stephen,F.,RepStephenLynch,,,
McGovern,James,RepMcGovern,,,,
Moulton,Seth,teammoulton,,,,
Neal,Richard,E.,RepRichardNeal,,,
Pressley,Ayanna,RepPressley,,,,
Trahan,Lori,RepLoriTrahan,,,,
Brown,Anthony,RepAnthonyBrown,,,,
Harris,Andy,RepAndyHarrisMD,,,,
Hoyer,Steny,H.,LeaderHoyer,,,
Mfume,Kweisi,RepKweisiMfume,,,,
Raskin,Jamie,RepRaskin,,,,
Ruppersberger,C.,A.,Dutch,,,
Sarbanes,John,P.,RepSarbanes,,,
Trone,David,RepDavidTrone,,,,
Golden,Jared,RepGolden,,,,
Pingree,Chellie,chelliepingree,,,,
Bergman,Jack,RepJackBergman,,,,
Dingell,Debbie,RepDebDingell,,,,
Huizenga,Bill,RepHuizenga,,,,
Kildee,Dan,RepDanKildee,,,,
Lawrence,Brenda,RepLawrence,,,,
Levin,Andy,RepAndyLevin,,,,
McClain,Lisa,C.,RepLisaMcClain,,,
Meijer,Peter,RepMeijer,,,,
Moolenaar,John,RepMoolenaar,,,,
Slotkin,Elissa,RepSlotkin,,,,
Stevens,Haley,RepHaleyStevens,,,,
Tlaib,Rashida,RepRashida,,,,
Upton,Fred,RepFredUpton,,,,
Walberg,Tim,RepWalberg,,,,
Craig,Angie,RepAngieCraig,,,,
Emmer,Tom,RepTomEmmer,,,,
Fischbach,Michelle,RepFischbach,,,,
Hagedorn,Jim,RepHagedorn,,,,
McCollum,Betty,BettyMcCollum04,,,,
Omar,Ilhan,Ilhan,,,,
Phillips,Dean,RepDeanPhillips,,,,
Stauber,Pete,RepPeteStauber,,,,
Bush,Cori,RepCori,,,,
Cleaver,Emanuel,repcleaver,,,,
Graves,Sam,RepSamGraves,,,,
Hartzler,Vicky,RepHartzler,,,,
Long,Billy,USRepLong,,,,
Luetkemeyer,Blaine,RepBlaine,,,,
Smith,Jason,RepJasonSmith,,,,
Wagner,Ann,RepAnnWagner,,,,
Sablan,Gregorio,Kilili_Sablan,,,,
Guest,Michael,RepMichaelGuest,,,,
Kelly,Trent,RepTrentKelly,,,,
Palazzo,Steven,CongPalazzo,,,,
Thompson,Bernie,G.,BennieGThompson,,,
Rosendale,Matthew,M.,RepRosendale,,,
Adams,Alma,RepAdams,,,,
Bishop,Dan,RepDanBishop,,,,
Budd,Ted,RepTedBudd,,,,
Butterfield,G.K.,GKButterfield,,,,
Cawthorn,Madison,RepCawthorn,,,,
Foxx,Virginia,virginiafoxx,,,,
Hudson,Richard,RepRichHudson,,,,
Manning,Kathy,E.,RepKManning,,,
McHenry,Patrick,T.,PatrickMcHenry,,,
Murphy,Gregory,Francis,RepGregMurphy,,,
Price,David,RepDavidEPrice,,,,
Ross,Deborah,K.,RepDeborahRoss,,,
Rouzer,David,RepDavidRouzer,,,,
Armstrong,Kelly,RepArmstrongND,,,,
Bacon,Don,RepDonBacon,,,,
Fortenberry,Jeff,JeffFortenberry,,,,
Smith,Adrian,RepAdrianSmith,,,,
Kuster,Ann,RepAnnieKuster,,,,
Pappas,Chris,RepChrisPappas,,,,
Gottheimer,Josh,RepJoshG,,,,
Kim,Andy,RepAndyKimNJ,,,,
Malinowski,Tom,RepMalinowski,,,,
Norcross,Donald,DonaldNorcross,,,,
Pallone Jr.,Frank,FrankPallone,,,,
Pascrell Jr.,Bill,BillPascrell,,,,
Payne Jr.,Donald,RepDonaldPayne,,,,
Sherrill,Mikie,RepSherrill,,,,
Sires,Albio,RepSires,,,,
Smith,Chris,NJ,R,,,
Van Drew,Jefferson,NJ,R,,,
Watson Coleman,Bonnie,RepBonnie,,,,
Haaland,Debra,RepDebHaaland,,,,
Herrell,Yvette,RepHerrell,,,,
Leger Fernandez,Teresa,RepTeresaLF,,,,
Amodei,Mark,MarkAmodeiNV2,,,,
Horsford,Steven,RepHorsford,,,,
Lee,Susie,RepSusieLee,,,,
Titus,Dina,repdinatitus,,,,
Bowman,Jamaal,RepBowman,,,,
Clarke,Yvette,D.,RepYvetteClarke,,,
Delgado,Antonio,repdelgado,,,,
Espaillat,Adriano,RepEspaillat,,,,
Garbarino,Andrew,R.,RepGarbarino,,,
Higgins,Brian,RepBrianHiggins,,,,
Jacobs,Chris,RepJacobs,,,,
Jeffries,Hakeem,RepJeffries,,,,
Jones,Mondaire,RepMondaire,,,,
Katko,John,RepJohnKatko,,,,
Malliotakis,Nicole,RepMalliotakis,,,,
Maloney,Carolyn,RepMaloney,,,,
Maloney,Sean,Patrick,RepSeanMaloney,,,
Meeks,Gregory,W.,RepGregoryMeeks,,,
Meng,Grace,RepGraceMeng,,,,
Morelle,Jospeh,RepJoeMorelle,,,,
Nadler,Jerrold,RepJerryNadler,,,,
Ocasio-Cortez,Alexandria,RepAOC,,,,
Reed,Tom,RepTomReed,,,,
Rice,Kathleen,RepKathleenRice,,,,
Stefanik,Elise,RepStefanik,,,,
Suozzi,Thomas,RepTomSuozzi,,,,
Tonko,Paul,D.,RepPaulTonko,,,
Torres,Ritchie,RepRitchie,,,,
Velazquez,Nydia,M.,NydiaVelazquez,,,
Zeldin,Lee,RepLeeZeldin,,,,
Balderson,Troy,RepBalderson,,,,
Beatty,Joyce,RepBeatty,,,,
Chabot,Steve,RepSteveChabot,,,,
Davidson,Warren,WarrenDavidson,,,,
Fudge,Marcia,L.,RepMarciaFudge,,,
Gibbs,Bob,RepBobGibbs,,,,
Gonzalez,Anthony,RepAGonzalez,,,,
Johnson,Bill,RepBillJohnson,,,,
Jordan,Jim,Jim_Jordan,,,,
Joyce,David,RepDaveJoyce,,,,
Kaptur,Marcy,RepMarcyKaptur,,,,
Latta,Robert,E.,boblatta,,,
Ryan,Tim,RepTimRyan,,,,
Stivers,Steve,RepSteveStivers,,,,
Turner,Mike,RepMikeTurner,,,,
Wenstrup,Brad,RepBradWenstrup,,,,
Bice,Stephanie,I.,RepBice,,,
Cole,Tom,TomColeOK04,,,,
Hern,Kevin,repkevinhern,,,,
Lucas,Frank,RepFrankLucas,,,,
Mullin,Markwayne,RepMullin,,,,
Bentz,Cliff,RepBentz,,,,
Blumenauer,Earl,repblumenauer,,,,
Bonamici,Suzanne,RepBonamici,,,,
DeFazio,Peter,RepPeterDeFazio,,,,
Schrader,Kurt,RepSchrader,,,,
Boyle,Brendan,CongBoyle,,,,
Cartwright,Matt,RepCartwright,,,,
Dean,Madeleine,RepDean,,,,
Doyle,Michael,USRepMikeDoyle,,,,
Evans,Dwight,RepDwightEvans,,,,
Fitzpatrick,Brian,RepBrianFitz,,,,
Houlahan,Chrissy,RepHoulahan,,,,
Joyce,John,RepJohnJoyce,,,,
Keller,Fred,RepFredKeller,,,,
Kelly,Mike,MikeKellyPA,,,,
Lamb,Conor,RepConorLamb,,,,
Meuser,Daniel,RepMeuser,,,,
Perry,Scott,RepScottPerry,,,,
Reschenthaler,Guy,GReschenthaler,,,,
Scanlon,Mary,Gay,RepMGS,,,
Smucker,Lloyd,RepSmucker,,,,
Thompson,Glenn,CongressmanGT,,,,
Wild,Susan,RepSusanWild,,,,
Gonzalez-Colon,Jenniffer,RepJenniffer,,,,
Cicilline,David,RepCicilline,,,,
Langevin,Jim,JimLangevin,,,,
Clyburn,James,E.,WhipClyburn,,,
Duncan,Jeff,RepJeffDuncan,,,,
Mace,Nancy,RepNancyMace,,,,
Norman,Ralph,RepRalphNorman,,,,
Rice,Tom,RepTomRice,,,,
Timmons,William,RepTimmons,,,,
Wilson,Joe,RepJoeWilson,,,,
Johnson,Dusty,RepDustyJohnson,,,,
Burchett,Tim,RepTimBurchett,,,,
Cohen,Steve,RepCohen,,,,
Cooper,Jim,repjimcooper,,,,
DesJarlais,Scott,DesJarlaisTN04,,,,
Fleischmann,Chuck,RepChuck,,,,
Green,Mark,RepMarkGreen,,,,
Harshbarger,Diana,RepHarshbarger,,,,
Kustoff,David,RepDavidKustoff,,,,
Rose,John,W.,RepJohnRose,,,
Allred,Colin,RepColinAllred,,,,
Arrington,Jodey,RepArrington,,,,
Babin,Brian,RepBrianBabin,,,,
Brady,Kevin,RepKevinBrady,,,,
Burgess,Michael,michaelcburgess,,,,
Carter,John,JudgeCarter,,,,
Castro,Joaquin,JoaquinCastrotx,,,,
Cloud,Michael,RepCloudTX,,,,
Crenshaw,Dan,RepDanCrenshaw,,,,
Cuellar,Henry,RepCuellar,,,,
Doggett,Lloyd,RepLloydDoggett,,,,
Escobar,Veronica,RepEscobar,,,,
Fallon,Pat,RepPatFallon,,,,
Fletcher,Lizzie,RepFletcher,,,,
Garcia,Sylvia,RepSylviaGarcia,,,,
Gohmert,Louie,replouiegohmert,,,,
Gonzales,Tony,RepTonyGonzales,,,,
Gonzalez,Vicente,RepGonzalez,,,,
Gooden,Lance,TX,R,,,
Granger,Kay,RepKayGranger,,,,
Green,Al,RepAlGreen,,,,
Jackson Lee,Sheila,JacksonLeeTX18,,,,
Jackson,Ronny,RepRonnyJackson,,,,
Johnson,Eddie,Bernice,RepEBJ,,,
McCaul,Michael,T.,RepMcCaul,,,
Nehls,Troy,E.,RepTroyNehls,,,
Pfluger,August,RepPfluger,,,,
Roy,Chip,RepChipRoy,,,,
Sessions,Pete,PeteSessions,,,,
Taylor,Van,RepVanTaylor,,,,
Van Duyne,Beth,RepBethVanDuyne,,,,
Veasey,Marc,RepVeasey,,,,
Vela,Filemon,RepFilemonVela,,,,
Weber,Randy,TXRandy14,,,,
Williams,Roger,RepRWilliams,,,,
Wright,Ron,RepRonWright,,,,
Curtis,John,R.,RepJohnCurtis,,,
Moore,Blake,D.,RepBlakeMoore,,,
Owens,Burgess,RepBurgessOwens,,,,
Stewart,Chris,RepChrisStewart,,,,
Beyer,Don,RepDonBeyer,,,,
Cline,Ben,RepBenCline,,,,
Connolly,Gerald,E.,Gerry,,,
Good,Bob,RepBobGood,,,,
Griffith,Morgan,RepMGriffith,,,,
Luria,Elaine,RepElaineLuria,,,,
McEachin,A.,Donald,RepMcEachin,,,
Scott,Robert,C.,BobbyScott,,,
Spanberger,Abigail,RepSpanberger,,,,
Wexton,Jennifer,RepWexton,,,,
Wittman,Robert,J.,RobWittman,,,
Plaskett,Stacey,StaceyPlaskett,,,,
Welch,Peter,PeterWelch,,,,
DelBene,Suzan,RepDelBene,,,,
Herrera Butler,Jaime,HerreraBeutler,,,,
Jayapal,Pramila,RepJayapal,,,,
Kilmer,Derek,RepDerekKilmer,,,,
Larsen,Rick,RepRickLarsen,,,,
Newhouse,Dan,RepNewhouse,,,,
Rodgers,Cathy,McMorris,cathymcmorris,,,
Schrier,Kim,RepKimSchrier,,,,
Smith,Adam,RepAdamSmith,,,,
Strickland,Marilyn,RepStricklandWA,,,,
Fitzgerald,Scott,RepFitzgerald,,,,
Gallagher,Mike,RepGallagher,,,,
Grothman,Glenn,RepGrothman,,,,
Kind,Ron,RepRonKind,,,,
Moore,Gwen,RepGwenMoore,,,,
Pocan,Mark,repmarkpocan,,,,
Steil,Bryan,RepBryanSteil,,,,
Tiffany,Thomas,P.,RepTiffany,,,
McKinley,David,RepMcKinley,,,,
Miller,Carol,RepCarolMiller,,,,
Miller,Mary,E.,RepMaryMiller,,,
Mooney,Alex,RepAlexMooney,,,,
Cheney,Liz,RepLizCheney,,,,
