First,Last,State,Party
 Bill ,Pascrell,New Jersey,Democratic
 Rand ,Paul,Kentucky,Republican
 Donald M. ,Payne,New Jersey,Democratic
 Nancy ,Pelosi,California,Democratic
 Mary Sattler ,Peltola,Alaska,Democratic
 Greg ,Pence,Indiana,Republican
 Ed ,Perlmutter,Colorado,Democratic
 Scott ,Perry,Pennsylvania,Republican
 Gary C. ,Peters,Michigan,Democratic
 Scott H. ,Peters,California,Democratic
 August ,Pfluger,Texas,Republican
 Dean ,Phillips,Minnesota,Democratic
 Chellie ,Pingree,Maine,Democratic
 Stacey E. ,Plaskett,Virgin Islands,Democratic
 Mark ,Pocan,Wisconsin,Democratic
 Katie ,Porter,California,Democratic
 Rob ,Portman,Ohio,Republican
 Bill ,Posey,Florida,Republican
 Ayanna ,Pressley,Massachusetts,Democratic
 David E. ,Price,North Carolina,Democratic
 Mike ,Quigley,Illinois,Democratic
 Aumua Amata Coleman ,Radewagen,American Samoa,Republican
 Jamie ,Raskin,Maryland,Democratic
 Jack ,Reed,Rhode Island,Democratic
 Tom ,Reed,New York,Republican
 Guy ,Reschenthaler,Pennsylvania,Republican
 Kathleen M. ,Rice,New York,Democratic
 Tom ,Rice,South Carolina,Republican
 Cedric L. ,Richmond,Louisiana,Democratic
 James E. ,Risch,Idaho,Republican
 Harold ,Rogers,Kentucky,Republican
 Mike D. ,Rogers,Alabama,Republican
 Mitt ,Romney,Utah,Republican
 John W. ,Rose,Tennessee,Republican
 Jacky ,Rosen,Nevada,Democratic
 Matthew M. ,Rosendale,Montana,Republican
 Deborah K. ,Ross,North Carolina,Democratic
 Mike ,Rounds,South Dakota,Republican
 David ,Rouzer,North Carolina,Republican
 Chip ,Roy,Texas,Republican
,Roybal,California,Democratic
 Marco ,Rubio,Florida,Republican
 Raul ,Ruiz,California,Democratic
 C. A. Dutch ,Ruppersberger,Maryland,Democratic
 Bobby L. ,Rush,Illinois,Democratic
 John H. ,Rutherford,Florida,Republican
 Patrick ,Ryan,New York,Democratic
 Tim ,Ryan,Ohio,Democratic
 Gregorio Kilili Camacho ,Sablan,Northern Mariana Islands,Democratic
 Maria Elvira ,Salazar,Florida,Republican
 Michael F. Q. ,San Nicolas,Guam,Democratic
 Linda T. ,Sánchez,California,Democratic
 Bernard ,Sanders,Vermont,Independent
 John P. ,Sarbanes,Maryland,Democratic
 Ben ,Sasse,Nebraska,Republican
 Steve ,Scalise,Louisiana,Republican
 Mary Gay ,Scanlon,Pennsylvania,Democratic
 Janice D. ,Schakowsky,Illinois,Democratic
 Brian ,Schatz,Hawaii,Democratic
 Adam B. ,Schiff,California,Democratic
 Bradley Scott ,Schneider,Illinois,Democratic
 Kurt ,Schrader,Oregon,Democratic
 Kim ,Schrier,Washington,Democratic
 Charles E. ,Schumer,New York,Democratic
 David ,Schweikert,Arizona,Republican
 Austin ,Scott,Georgia,Republican
 David ,Scott,Georgia,Democratic
 Rick ,Scott,Florida,Republican
" Robert C. ""Bobby"" ",Scott,Virginia,Democratic
 Tim ,Scott,South Carolina,Republican
 Joseph ,Sempolinski,New York,Republican
 Pete ,Sessions,Texas,Republican
 Terri A. ,Sewell,Alabama,Democratic
 Jeanne ,Shaheen,New Hampshire,Democratic
 Richard C. ,Shelby,Alabama,Republican
 Brad ,Sherman,California,Democratic
 Mikie ,Sherrill,New Jersey,Democratic
 Michael K. ,Simpson,Idaho,Republican
 Kyrsten ,Sinema,Arizona,Independent
 Albio ,Sires,New Jersey,Democratic
 Elissa ,Slotkin,Michigan,Democratic
 Adam ,Smith,Washington,Democratic
 Adrian ,Smith,Nebraska,Republican
 Christopher H. ,Smith,New Jersey,Republican
 Jason ,Smith,Missouri,Republican
 Tina ,Smith,Minnesota,Democratic
 Lloyd ,Smucker,Pennsylvania,Republican
 Darren ,Soto,Florida,Democratic
 Abigail Davis ,Spanberger,Virginia,Democratic
 Victoria ,Spartz,Indiana,Republican
 Jackie ,Speier,California,Democratic
 Debbie ,Stabenow,Michigan,Democratic
 Melanie A. ,Stansbury,New Mexico,Democratic
 Greg ,Stanton,Arizona,Democratic
 Pete ,Stauber,Minnesota,Republican
 Michelle ,Steel,California,Republican
 Elise M. ,Stefanik,New York,Republican
 Bryan ,Steil,Wisconsin,Republican
 W. Gregory ,Steube,Florida,Republican
 Haley M. ,Stevens,Michigan,Democratic
 Chris ,Stewart,Utah,Republican
 Steve ,Stivers,Ohio,Republican
 Marilyn ,Strickland,Washington,Democratic
 Dan ,Sullivan,Alaska,Republican
 Thomas R. ,Suozzi,New York,Democratic
 Eric ,Swalwell,California,Democratic
 Mark ,Takano,California,Democratic
 Van ,Taylor,Texas,Republican
 Claudia ,Tenney,New York,Republican
 Jon ,Tester,Montana,Democratic
 Bennie G. ,Thompson,Mississippi,Democratic
 Glenn ,Thompson,Pennsylvania,Republican
 Mike ,Thompson,California,Democratic
 John ,Thune,South Dakota,Republican
 Thomas P. ,Tiffany,Wisconsin,Republican
 Thomas ,Tillis,North Carolina,Republican
 William R. ,Timmons,South Carolina,Republican
 Dina ,Titus,Nevada,Democratic
 Rashida ,Tlaib,Michigan,Democratic
 Paul ,Tonko,New York,Democratic
 Patrick ,Toomey,Pennsylvania,Republican
 Norma J. ,Torres,California,Democratic
 Ritchie ,Torres,New York,Democratic
 Lori ,Trahan,Massachusetts,Democratic
 David J. ,Trone,Maryland,Democratic
 Tommy ,Tuberville,Alabama,Republican
 Michael R. ,Turner,Ohio,Republican
 Lauren ,Underwood,Illinois,Democratic
 Fred ,Upton,Michigan,Republican
 David G. ,Valadao,California,Republican
 Jefferson ,Van Drew,New Jersey,Republican
 Beth ,Van Duyne,Texas,Republican
 Chris ,Van Hollen,Maryland,Democratic
 Juan ,Vargas,California,Democratic
 Marc A. ,Veasey,Texas,Democratic
 Filemon ,Vela,Texas,Democratic
 Nydia M. ,Velázquez,New York,Democratic
 Ann ,Wagner,Missouri,Republican
 Tim ,Walberg,Michigan,Republican
 Jackie ,Walorski,Indiana,Republican
 Michael ,Waltz,Florida,Republican
 Mark R. ,Warner,Virginia,Democratic
 Raphael G. ,Warnock,Georgia,Democratic
 Elizabeth ,Warren,Massachusetts,Democratic
 Debbie ,Wasserman Schultz,Florida,Democratic
 Maxine ,Waters,California,Democratic
 Bonnie ,Watson Coleman,New Jersey,Democratic
 Randy K. Sr. ,Weber,Texas,Republican
 Daniel ,Webster,Florida,Republican
 Peter ,Welch,Vermont,Democratic
 Brad R. ,Wenstrup,Ohio,Republican
 Bruce ,Westerman,Arkansas,Republican
 Jennifer ,Wexton,Virginia,Democratic
 Sheldon ,Whitehouse,Rhode Island,Democratic
 Roger F. ,Wicker,Mississippi,Republican
 Susan ,Wild,Pennsylvania,Democratic
 Nikema ,Williams,Georgia,Democratic
 Roger ,Williams,Texas,Republican
 Frederica S. ,Wilson,Florida,Democratic
 Joe ,Wilson,South Carolina,Republican
 Robert J. ,Wittman,Virginia,Republican
 Steve ,Womack,Arkansas,Republican
 Ron ,Wright,Texas,Republican
 Ron ,Wyden,Oregon,Democratic
 Rudy ,Yakym,Indiana,Republican
 John A. ,Yarmuth,Kentucky,Democratic
 Don ,Young,Alaska,Republican
 Todd ,Young,Indiana,Republican
 Lee M. ,Zeldin,New York,Republican
